fecha,anio,mes,mes_nombre,grupo_residencia_principal,grupo_residencia_detalle,aeropuerto,valor,total_ytd_archivo,unidad,fuente_archivo
2026-03-31,2026,3,Marzo,RESIDENTES,,PUNTA CANA,9542.394841642588,31963.245569839688,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,RESIDENTES,,LA ROMANA,748.0770253355341,2068.5912754372666,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,RESIDENTES,,LA ROMANA,543.9484698279791,2068.5912754372666,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,RESIDENTES,,LA ROMANA,776.5657802737535,2068.5912754372666,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,RESIDENTES,,MARÍA MONTEZ,0.0,0.0,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,RESIDENTES,,MARÍA MONTEZ,0.0,0.0,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,RESIDENTES,,MARÍA MONTEZ,0.0,0.0,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,RESIDENTES,,CIBAO,21973.729288794115,40765.51542746388,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,RESIDENTES,,CIBAO,7811.956805596934,40765.51542746388,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,RESIDENTES,,CIBAO,10979.829333072827,40765.51542746388,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,RESIDENTES,,LA ISABELA,1035.1075738433456,3109.2515319662352,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,RESIDENTES,,LA ISABELA,895.1978438279984,3109.2515319662352,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,RESIDENTES,,LA ISABELA,1178.9461142948912,3109.2515319662352,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,RESIDENTES,,"EL CATEY, SAMANA",87.76264596226369,161.00110372924718,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,RESIDENTES,,"EL CATEY, SAMANA",31.02755065766086,161.00110372924718,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,RESIDENTES,,"EL CATEY, SAMANA",42.210907109322605,161.00110372924718,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,RESIDENTES,DOMINICANOS,TOTAL,102277.51580302576,206585.17279359646,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,RESIDENTES,DOMINICANOS,TOTAL,44263.804502835985,206585.17279359646,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,RESIDENTES,DOMINICANOS,TOTAL,60043.85248773472,206585.17279359646,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,RESIDENTES,DOMINICANOS,LAS AMERICAS,66129.53392503412,137431.39899772592,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,RESIDENTES,DOMINICANOS,LAS AMERICAS,30602.453987784047,137431.39899772592,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,RESIDENTES,DOMINICANOS,LAS AMERICAS,40699.41108490776,137431.39899772592,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,RESIDENTES,DOMINICANOS,PUERTO PLATA,1534.3817801339533,2764.6527348063864,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,RESIDENTES,DOMINICANOS,PUERTO PLATA,506.8386198652582,2764.6527348063864,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,RESIDENTES,DOMINICANOS,PUERTO PLATA,723.4323348071752,2764.6527348063864,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,RESIDENTES,DOMINICANOS,PUNTA CANA,12776.451728224627,25406.94625905565,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,RESIDENTES,DOMINICANOS,PUNTA CANA,5146.650391470617,25406.94625905565,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,RESIDENTES,DOMINICANOS,PUNTA CANA,7483.844139360407,25406.94625905565,pasajeros,lleg_total_2026.xls
