anio,concepto,valor,unidad,fuente_archivo
2011,Zonas Francas,4767.099999999999,millones_usd,bpagos_6.xls
2012,Zonas Francas,4918.9,millones_usd,bpagos_6.xls
2013,Zonas Francas,4976.400000000001,millones_usd,bpagos_6.xls
2014,Zonas Francas,5261.7,millones_usd,bpagos_6.xls
2015,Zonas Francas,5423.6,millones_usd,bpagos_6.xls
2016,Zonas Francas,5503.9,millones_usd,bpagos_6.xls
2017,Zonas Francas,5709.6,millones_usd,bpagos_6.xls
2018,Zonas Francas,6035.2,millones_usd,bpagos_6.xls
2019,Zonas Francas,6249.5,millones_usd,bpagos_6.xls
2020,Zonas Francas,5894.499999999999,millones_usd,bpagos_6.xls
2021,Zonas Francas,7179.6,millones_usd,bpagos_6.xls
2022,Zonas Francas,7827.299999999999,millones_usd,bpagos_6.xls
2023,Zonas Francas,7959.400000000001,millones_usd,bpagos_6.xls
2024,Zonas Francas,8500.300000000001,millones_usd,bpagos_6.xls
2025,Zonas Francas,8552.2,millones_usd,bpagos_6.xls
2010,Importaciones,15209.900000000001,millones_usd,bpagos_6.xls
2011,Importaciones,17301.6,millones_usd,bpagos_6.xls
2012,Importaciones,17651.8,millones_usd,bpagos_6.xls
2013,Importaciones,16801.2,millones_usd,bpagos_6.xls
2014,Importaciones,17273.1,millones_usd,bpagos_6.xls
2015,Importaciones,16906.5,millones_usd,bpagos_6.xls
2016,Importaciones,17398.600000000002,millones_usd,bpagos_6.xls
2017,Importaciones,17734.3,millones_usd,bpagos_6.xls
2018,Importaciones,20197.3,millones_usd,bpagos_6.xls
2019,Importaciones,20267.800000000003,millones_usd,bpagos_6.xls
2020,Importaciones,17105.0,millones_usd,bpagos_6.xls
2021,Importaciones,24282.0,millones_usd,bpagos_6.xls
2022,Importaciones,30912.6,millones_usd,bpagos_6.xls
2023,Importaciones,28813.100000000002,millones_usd,bpagos_6.xls
2024,Importaciones,29803.0,millones_usd,bpagos_6.xls
2025,Importaciones,29792.9,millones_usd,bpagos_6.xls
2010,Nacionales,12600.900000000001,millones_usd,bpagos_6.xls
2011,Nacionales,14362.899999999998,millones_usd,bpagos_6.xls
2012,Nacionales,14753.099999999999,millones_usd,bpagos_6.xls
2013,Nacionales,13690.4,millones_usd,bpagos_6.xls
2014,Nacionales,13849.3,millones_usd,bpagos_6.xls
2015,Nacionales,13408.5,millones_usd,bpagos_6.xls
2016,Nacionales,13864.500000000002,millones_usd,bpagos_6.xls
2017,Nacionales,13987.599999999999,millones_usd,bpagos_6.xls
2018,Nacionales,16359.7,millones_usd,bpagos_6.xls
2019,Nacionales,16316.200000000003,millones_usd,bpagos_6.xls
2020,Nacionales,13484.8,millones_usd,bpagos_6.xls
2021,Nacionales,19669.5,millones_usd,bpagos_6.xls
2022,Nacionales,25636.899999999998,millones_usd,bpagos_6.xls
2023,Nacionales,23939.5,millones_usd,bpagos_6.xls
2024,Nacionales,24950.2,millones_usd,bpagos_6.xls
2025,Nacionales,25039.4,millones_usd,bpagos_6.xls
2010,Zonas Francas,2609.0,millones_usd,bpagos_6.xls
2011,Zonas Francas,2938.7000000000007,millones_usd,bpagos_6.xls
2012,Zonas Francas,2898.7000000000003,millones_usd,bpagos_6.xls
2013,Zonas Francas,3110.8000000000006,millones_usd,bpagos_6.xls
2014,Zonas Francas,3423.8,millones_usd,bpagos_6.xls
2015,Zonas Francas,3497.9999999999995,millones_usd,bpagos_6.xls
2016,Zonas Francas,3534.1,millones_usd,bpagos_6.xls
2017,Zonas Francas,3746.7000000000003,millones_usd,bpagos_6.xls
2018,Zonas Francas,3837.5999999999995,millones_usd,bpagos_6.xls
2019,Zonas Francas,3951.600000000001,millones_usd,bpagos_6.xls
2020,Zonas Francas,3620.2000000000003,millones_usd,bpagos_6.xls
2021,Zonas Francas,4612.5,millones_usd,bpagos_6.xls
2022,Zonas Francas,5275.700000000001,millones_usd,bpagos_6.xls
2023,Zonas Francas,4873.6,millones_usd,bpagos_6.xls
2024,Zonas Francas,4852.8,millones_usd,bpagos_6.xls
2025,Zonas Francas,4753.499999999999,millones_usd,bpagos_6.xls
2010,1.1.2 Balanza de Servicios,2867.0,millones_usd,bpagos_6.xls
2011,1.1.2 Balanza de Servicios,3005.4000000000005,millones_usd,bpagos_6.xls
2012,1.1.2 Balanza de Servicios,3320.500000000001,millones_usd,bpagos_6.xls
2013,1.1.2 Balanza de Servicios,3633.5999999999995,millones_usd,bpagos_6.xls
2014,1.1.2 Balanza de Servicios,4083.900000000001,millones_usd,bpagos_6.xls
2015,1.1.2 Balanza de Servicios,4367.8,millones_usd,bpagos_6.xls
2016,1.1.2 Balanza de Servicios,4939.6,millones_usd,bpagos_6.xls
2017,1.1.2 Balanza de Servicios,5549.800000000001,millones_usd,bpagos_6.xls
2018,1.1.2 Balanza de Servicios,5496.500000000001,millones_usd,bpagos_6.xls
2019,1.1.2 Balanza de Servicios,5058.299999999997,millones_usd,bpagos_6.xls
2020,1.1.2 Balanza de Servicios,1390.5999999999995,millones_usd,bpagos_6.xls
2021,1.1.2 Balanza de Servicios,3706.5,millones_usd,bpagos_6.xls
2022,1.1.2 Balanza de Servicios,5493.5,millones_usd,bpagos_6.xls
2023,1.1.2 Balanza de Servicios,7203.5999999999985,millones_usd,bpagos_6.xls
2024,1.1.2 Balanza de Servicios,8354.600000000002,millones_usd,bpagos_6.xls
2025,1.1.2 Balanza de Servicios,8787.699999999999,millones_usd,bpagos_6.xls
2010,Crédito,5454.5,millones_usd,bpagos_6.xls
2011,Crédito,5730.700000000001,millones_usd,bpagos_6.xls
2012,Crédito,6030.300000000001,millones_usd,bpagos_6.xls
2013,Crédito,6411.9,millones_usd,bpagos_6.xls
2014,Crédito,7053.700000000001,millones_usd,bpagos_6.xls
2015,Crédito,7541.8,millones_usd,bpagos_6.xls
2016,Crédito,8309.2,millones_usd,bpagos_6.xls
2017,Crédito,8856.800000000001,millones_usd,bpagos_6.xls
2018,Crédito,9413.6,millones_usd,bpagos_6.xls
2019,Crédito,9316.499999999998,millones_usd,bpagos_6.xls
2020,Crédito,4587.5,millones_usd,bpagos_6.xls
2021,Crédito,8114.3,millones_usd,bpagos_6.xls
2022,Crédito,11418.6,millones_usd,bpagos_6.xls
2023,Crédito,12840.099999999999,millones_usd,bpagos_6.xls
2024,Crédito,14691.100000000002,millones_usd,bpagos_6.xls
2025,Crédito,14434.8,millones_usd,bpagos_6.xls
2010,Viajes,4161.7,millones_usd,bpagos_6.xls
2011,Viajes,4385.7,millones_usd,bpagos_6.xls
2012,Viajes,4680.1,millones_usd,bpagos_6.xls
2013,Viajes,5054.700000000001,millones_usd,bpagos_6.xls
2014,Viajes,5629.799999999999,millones_usd,bpagos_6.xls
2015,Viajes,6115.900000000001,millones_usd,bpagos_6.xls
2016,Viajes,6719.599999999999,millones_usd,bpagos_6.xls
2017,Viajes,7184.1,millones_usd,bpagos_6.xls
2018,Viajes,7547.7,millones_usd,bpagos_6.xls
2019,Viajes,7471.5,millones_usd,bpagos_6.xls
2020,Viajes,2674.8,millones_usd,bpagos_6.xls
2021,Viajes,5697.1,millones_usd,bpagos_6.xls
2022,Viajes,8395.300000000001,millones_usd,bpagos_6.xls
2023,Viajes,9751.0,millones_usd,bpagos_6.xls
2024,Viajes,10972.4,millones_usd,bpagos_6.xls
2025,Viajes,11321.400000000001,millones_usd,bpagos_6.xls
2010,Servicios de Manufactura sobre insumos Físicos Pertenecientes a terceros,54.9,millones_usd,bpagos_6.xls
2011,Servicios de Manufactura sobre insumos Físicos Pertenecientes a terceros,49.00000000000001,millones_usd,bpagos_6.xls
2012,Servicios de Manufactura sobre insumos Físicos Pertenecientes a terceros,55.6,millones_usd,bpagos_6.xls
2013,Servicios de Manufactura sobre insumos Físicos Pertenecientes a terceros,64.0,millones_usd,bpagos_6.xls
2014,Servicios de Manufactura sobre insumos Físicos Pertenecientes a terceros,68.60000000000001,millones_usd,bpagos_6.xls
2015,Servicios de Manufactura sobre insumos Físicos Pertenecientes a terceros,79.0,millones_usd,bpagos_6.xls
