anio,pais_origen,valor,unidad,fuente_archivo
1995,Reino Unido,5.9,millones_usd,inversion_ext_pais.xls
1996,Reino Unido,5.2,millones_usd,inversion_ext_pais.xls
1997,Reino Unido,41.4,millones_usd,inversion_ext_pais.xls
1998,Reino Unido,22.9,millones_usd,inversion_ext_pais.xls
1999,Reino Unido,75.7,millones_usd,inversion_ext_pais.xls
2000,Reino Unido,17.4,millones_usd,inversion_ext_pais.xls
2001,Reino Unido,1.9583196,millones_usd,inversion_ext_pais.xls
2002,Reino Unido,-0.16238884,millones_usd,inversion_ext_pais.xls
2003,Reino Unido,-25.2,millones_usd,inversion_ext_pais.xls
2004,Reino Unido,21.4,millones_usd,inversion_ext_pais.xls
2005,Reino Unido,94.8,millones_usd,inversion_ext_pais.xls
2006,Reino Unido,55.4,millones_usd,inversion_ext_pais.xls
2007,Reino Unido,60.1,millones_usd,inversion_ext_pais.xls
2008,Reino Unido,590.8,millones_usd,inversion_ext_pais.xls
2009,Reino Unido,-2.9,millones_usd,inversion_ext_pais.xls
2010,Reino Unido,-6.1,millones_usd,inversion_ext_pais.xls
2011,Reino Unido,-5.0,millones_usd,inversion_ext_pais.xls
2012,Reino Unido,25.1,millones_usd,inversion_ext_pais.xls
2013,Reino Unido,24.20413,millones_usd,inversion_ext_pais.xls
1993,Suiza,14.5,millones_usd,inversion_ext_pais.xls
1994,Suiza,20.4,millones_usd,inversion_ext_pais.xls
1995,Suiza,14.8,millones_usd,inversion_ext_pais.xls
1996,Suiza,12.9,millones_usd,inversion_ext_pais.xls
1997,Suiza,14.7,millones_usd,inversion_ext_pais.xls
1998,Suiza,7.7,millones_usd,inversion_ext_pais.xls
1999,Suiza,16.5,millones_usd,inversion_ext_pais.xls
2000,Suiza,14.0,millones_usd,inversion_ext_pais.xls
2001,Suiza,2.015913,millones_usd,inversion_ext_pais.xls
2002,Suiza,4.0,millones_usd,inversion_ext_pais.xls
2003,Suiza,5.8,millones_usd,inversion_ext_pais.xls
2004,Suiza,18.2,millones_usd,inversion_ext_pais.xls
2005,Suiza,48.1,millones_usd,inversion_ext_pais.xls
2006,Suiza,-359.1,millones_usd,inversion_ext_pais.xls
2007,Suiza,-14.1,millones_usd,inversion_ext_pais.xls
2008,Suiza,30.9,millones_usd,inversion_ext_pais.xls
2009,Suiza,3.1,millones_usd,inversion_ext_pais.xls
2010,Suiza,-0.7,millones_usd,inversion_ext_pais.xls
2011,Suiza,5.8,millones_usd,inversion_ext_pais.xls
2012,Suiza,0.5,millones_usd,inversion_ext_pais.xls
2013,Suiza,1.4331482900745838,millones_usd,inversion_ext_pais.xls
1993,Holanda,0.0,millones_usd,inversion_ext_pais.xls
1994,Holanda,0.0,millones_usd,inversion_ext_pais.xls
1999,Holanda,61.5,millones_usd,inversion_ext_pais.xls
2000,Holanda,36.0,millones_usd,inversion_ext_pais.xls
2001,Holanda,245.19353278999998,millones_usd,inversion_ext_pais.xls
2002,Holanda,119.40982155,millones_usd,inversion_ext_pais.xls
2003,Holanda,25.1,millones_usd,inversion_ext_pais.xls
2004,Holanda,4.5,millones_usd,inversion_ext_pais.xls
2005,Holanda,41.3,millones_usd,inversion_ext_pais.xls
2006,Holanda,41.1,millones_usd,inversion_ext_pais.xls
2007,Holanda,53.6,millones_usd,inversion_ext_pais.xls
2008,Holanda,-72.9,millones_usd,inversion_ext_pais.xls
2009,Holanda,96.0,millones_usd,inversion_ext_pais.xls
2010,Holanda,62.1,millones_usd,inversion_ext_pais.xls
2011,Holanda,62.9,millones_usd,inversion_ext_pais.xls
2012,Holanda,8.6,millones_usd,inversion_ext_pais.xls
2013,Holanda,82.6910536438526,millones_usd,inversion_ext_pais.xls
1993,Italia,4.5,millones_usd,inversion_ext_pais.xls
