anio,concepto,valor,unidad,hoja_origen,fuente_archivo
2008,A. DEUDA EXTERNA (1+2+3) 3/,0.16958240822762263,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2009,A. DEUDA EXTERNA (1+2+3) 3/,0.19418120777293538,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2010,A. DEUDA EXTERNA (1+2+3) 3/,0.20539861277491323,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2011,A. DEUDA EXTERNA (1+2+3) 3/,0.22002633457056944,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2012,A. DEUDA EXTERNA (1+2+3) 3/,0.2290749074237989,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2013,A. DEUDA EXTERNA (1+2+3) 3/,0.2576726551659004,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2014,A. DEUDA EXTERNA (1+2+3) 3/,0.25755303688292563,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2015,A. DEUDA EXTERNA (1+2+3) 3/,0.23825991483071532,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2016,A. DEUDA EXTERNA (1+2+3) 3/,0.2402968835621081,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2017,A. DEUDA EXTERNA (1+2+3) 3/,0.24076570458060664,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2018,A. DEUDA EXTERNA (1+2+3) 3/,0.257258569966308,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2019,A. DEUDA EXTERNA (1+2+3) 3/,0.2656948006099385,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2020,A. DEUDA EXTERNA (1+2+3) 3/,0.3950983391505337,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2021,A. DEUDA EXTERNA (1+2+3) 3/,0.36035983301937663,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2022,A. DEUDA EXTERNA (1+2+3) 3/,0.328763734398366,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2023,A. DEUDA EXTERNA (1+2+3) 3/,0.3308464077820031,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
